# obj_no spec_z phot_z age_old age_new f_old_V old_modifier EBV norm chi
3.200000000000000000e+01 8.396000000000000130e-01 7.600000000000000089e-01 5.088000000000000000e+08 1.000000000000000000e+07 5.600000000000000533e-01 5.352702836184273958e+08 6.000000000000000888e-01 8.548285652390710254e+00 1.036009767792103275e+01
3.300000000000000000e+01 1.090000000000000080e+00 9.899999999999999911e-01 8.064000000000000000e+08 5.000000000000000000e+07 3.400000000000000244e-01 1.195266832604968071e+09 1.125000000000000000e+00 7.644385343795297771e+00 1.421047176534702139e+01
3.400000000000000000e+01 1.088700000000000001e+00 9.500000000000000666e-01 5.088000000000000000e+08 5.000000000000000000e+07 7.399999999999999911e-01 3.378457198431885242e+09 1.200000000000000178e+00 3.109850048362136832e+01 1.280216910612230485e+01
3.500000000000000000e+01 2.611000000000000210e+00 2.850000000000000089e+00 5.088000000000000000e+08 5.000000000000000000e+07 5.999999999999999778e-02 8.830951074183226824e+08 9.500000000000000666e-01 2.893998562652273066e+01 2.601558264961018807e+01
3.600000000000000000e+01 2.098700000000000010e+00 2.169999999999999929e+00 5.088000000000000000e+08 5.000000000000000000e+07 4.000000000000000083e-02 4.560477518580496311e+08 8.500000000000000888e-01 2.782593318344531497e+01 2.762360878569415945e+01
3.700000000000000000e+01 4.868000000000000105e-01 4.199999999999999845e-01 5.088000000000000000e+08 5.000000000000000000e+07 7.399999999999999911e-01 1.561109719837549210e+09 1.050000000000000044e+00 1.405144613388743124e+01 6.714779129830855453e+00
3.800000000000000000e+01 1.135000000000000009e+00 1.040000000000000036e+00 5.088000000000000000e+08 1.000000000000000000e+07 4.400000000000000022e-01 6.970960487739666700e+08 7.750000000000000222e-01 4.625351922641709912e+00 1.163678021136772323e+01
3.900000000000000000e+01 1.277000000000000079e-01 1.300000000000000044e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.599999999999999867e-01 1.285171630386454105e+09 5.000000000000000278e-02 3.221767313895547435e-02 2.709318786174470262e+01
4.000000000000000000e+01 6.250000000000000000e-01 3.300000000000000266e+00 8.064000000000000000e+08 5.000000000000000000e+07 1.400000000000000133e-01 1.803933244019435501e+10 1.125000000000000000e+00 1.573589339185994085e+01 5.405847923831517932e+01
4.100000000000000000e+01 1.350999999999999979e+00 1.310000000000000053e+00 5.088000000000000000e+08 1.000000000000000000e+07 2.399999999999999911e-01 5.728582416541705132e+08 4.750000000000000333e-01 5.076179625773895587e+00 1.232664536969985924e+01
4.200000000000000000e+01 2.416999999999999982e-01 1.700000000000000122e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.800000000000000044e-01 1.579989239769583702e+09 0.000000000000000000e+00 1.186473772398080606e-02 1.765273802917002754e+01
4.300000000000000000e+01 3.481000000000000205e-01 4.100000000000000311e-01 5.088000000000000000e+08 5.000000000000000000e+07 7.399999999999999911e-01 1.549486777270951748e+09 4.750000000000000333e-01 1.251053717679474264e+00 1.553430996006441944e+01
4.400000000000000000e+01 1.427999999999999936e+00 1.400000000000000133e+00 5.088000000000000000e+08 1.000000000000000000e+07 2.000000000000000111e-01 5.222084938258752823e+08 4.500000000000000111e-01 9.873753059686478650e+00 2.373837657636881104e+01
4.500000000000000000e+01 2.330000000000000127e-01 4.000000000000000222e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.800000000000000044e-01 1.954934789696622372e+09 0.000000000000000000e+00 2.827276792734158550e-01 3.611527668635429933e+01
4.600000000000000000e+01 2.165900000000000158e+00 2.709999999999999964e+00 5.088000000000000000e+08 5.000000000000000000e+07 2.000000000000000042e-02 2.616276252809672654e+08 2.500000000000000000e-01 1.158441194603735802e+01 1.201217839977670465e+01
4.700000000000000000e+01 9.829999999999999849e-01 8.800000000000000044e-01 5.088000000000000000e+08 5.000000000000000000e+07 6.400000000000000133e-01 1.752567239793764353e+09 7.000000000000000666e-01 6.150627161537084220e+00 1.406955891581764817e+01
4.800000000000000000e+01 6.660000000000000364e-01 5.600000000000000533e-01 5.088000000000000000e+08 5.000000000000000000e+07 6.800000000000000488e-01 1.304022469882124424e+09 6.250000000000000000e-01 6.933741073718094228e+00 1.194055312397428992e+01
4.900000000000000000e+01 6.596999999999999531e-01 2.629999999999999893e+00 5.088000000000000000e+08 1.000000000000000000e+07 0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 1.723705330445406219e+02 3.056929651356190902e+01
5.000000000000000000e+01 7.329999999999999849e-01 6.600000000000000311e-01 5.088000000000000000e+08 5.000000000000000000e+07 7.399999999999999911e-01 1.948687876762027740e+09 2.000000000000000111e-01 1.983025962127792807e+00 4.866628152093527504e+00
5.100000000000000000e+01 1.469000000000000083e+00 1.530000000000000027e+00 5.088000000000000000e+08 5.000000000000000000e+07 2.000000000000000111e-01 1.076922694290937901e+09 1.500000000000000000e+00 9.228390537792353143e+01 7.677142189594606592e+00
5.200000000000000000e+01 7.329999999999999849e-01 5.000000000000000278e-02 1.700000000000000000e+09 1.000000000000000000e+07 8.200000000000000622e-01 2.062637647229420900e+09 0.000000000000000000e+00 3.574170945442554752e-03 1.674018682002975922e+01
5.300000000000000000e+01 6.600000000000000311e-01 5.700000000000000622e-01 5.088000000000000000e+08 1.000000000000000000e+07 3.800000000000000044e-01 1.958866516506712735e+08 1.500000000000000000e+00 1.477628297749407125e+02 1.488673358171918437e+01
5.400000000000000000e+01 2.765000000000000235e-01 1.900000000000000022e-01 5.088000000000000000e+08 1.000000000000000000e+07 7.399999999999999911e-01 6.223198216788804531e+08 0.000000000000000000e+00 2.876730423403544429e-02 6.317651097843040020e+00
5.500000000000000000e+01 1.461000000000000076e+00 1.370000000000000107e+00 8.064000000000000000e+08 5.000000000000000000e+07 2.600000000000000089e-01 2.000788030983150959e+09 6.500000000000000222e-01 7.766904106515131190e+00 1.327307480968770825e+01
5.600000000000000000e+01 7.324000000000000510e-01 6.700000000000000400e-01 5.088000000000000000e+08 5.000000000000000000e+07 7.600000000000000089e-01 2.193641683590437889e+09 2.750000000000000222e-01 7.524307598154481580e-01 1.637773025738860744e+00
5.700000000000000000e+01 1.145999999999999908e+00 9.799999999999999822e-01 1.139100030000000000e+09 5.000000000000000000e+07 3.599999999999999867e-01 1.904477345000895739e+09 1.125000000000000000e+00 1.511095979736799855e+01 2.083149543000209647e+01
5.800000000000000000e+01 8.244000000000000217e-01 6.800000000000000488e-01 5.088000000000000000e+08 1.000000000000000000e+07 7.600000000000000089e-01 1.177620673335959911e+09 0.000000000000000000e+00 9.354159726088592253e-01 1.911322581338191995e+01
5.900000000000000000e+01 1.036299999999999999e+00 9.699999999999999734e-01 5.088000000000000000e+08 1.000000000000000000e+07 4.600000000000000200e-01 6.078793331683167219e+08 8.250000000000000666e-01 2.205388741008942688e+01 7.250411184676931242e+00
6.000000000000000000e+01 2.542600000000000193e+00 2.740000000000000213e+00 5.088000000000000000e+08 5.000000000000000000e+07 4.000000000000000083e-02 5.426462594713882208e+08 9.000000000000000222e-01 2.777804976011954707e+01 2.814306532215979573e+01
6.100000000000000000e+01 6.626999999999999558e-01 2.569999999999999840e+00 5.088000000000000000e+08 1.000000000000000000e+07 0.000000000000000000e+00 0.000000000000000000e+00 9.000000000000000222e-01 1.405350987798797462e+02 2.897896267489457856e+01
6.200000000000000000e+01 1.237000000000000044e-01 1.300000000000000044e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.800000000000000044e-01 1.534235899841193676e+09 0.000000000000000000e+00 9.530704226745569108e-02 1.415687263051619382e+01
6.300000000000000000e+01 1.016999999999999904e+00 9.599999999999999645e-01 8.064000000000000000e+08 5.000000000000000000e+07 4.400000000000000022e-01 1.688881339178593397e+09 1.500000000000000000e+00 1.353610454542373454e+01 3.083686876448346048e+00
6.400000000000000000e+01 6.720000000000000417e-01 5.799999999999999600e-01 8.064000000000000000e+08 2.511900000000000000e+07 9.799999999999999822e-01 3.665158056619120789e+10 8.500000000000000888e-01 7.485141412662860150e-01 3.746383857693657227e+00
6.500000000000000000e+01 1.274000000000000132e-01 1.600000000000000033e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.800000000000000044e-01 1.568615250084261656e+09 1.000000000000000056e-01 1.520577823394538841e-01 2.256395306782040322e+01
6.600000000000000000e+01 4.441999999999999837e-01 4.000000000000000222e-01 5.088000000000000000e+08 5.000000000000000000e+07 8.399999999999999689e-01 2.838331182652381420e+09 2.500000000000000000e-01 1.302848788193942675e-01 2.370842116178962566e+00
6.700000000000000000e+01 2.703399999999999803e+00 2.819999999999999840e+00 5.088000000000000000e+08 5.000000000000000000e+07 4.000000000000000083e-02 5.668349170210936069e+08 7.000000000000000666e-01 2.545698534352812104e+01 2.263050159969997921e+01
6.800000000000000000e+01 6.611000000000000210e-01 5.600000000000000533e-01 1.139100030000000000e+09 1.000000000000000000e+07 1.000000000000000000e+00 1.000000000000000000e+00 6.750000000000000444e-01 6.019454595840254974e+10 3.426410180018657492e+00
6.900000000000000000e+01 9.509999999999999565e-01 8.100000000000000533e-01 8.064000000000000000e+08 5.000000000000000000e+07 7.399999999999999911e-01 4.161798694913422585e+09 2.500000000000000000e-01 2.211157678944570826e+00 9.537953915931224103e+00
7.000000000000000000e+01 4.182000000000000162e-01 4.100000000000000311e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.000000000000000444e-01 1.077433973559681892e+09 0.000000000000000000e+00 4.711937526613738658e-01 1.451516918482599650e+01
7.100000000000000000e+01 1.133999999999999897e+00 1.100000000000000089e+00 8.064000000000000000e+08 2.511900000000000000e+07 3.599999999999999867e-01 1.452912856174031258e+09 1.000000000000000000e+00 8.835029550635162821e+00 1.452113898576974726e+01
7.200000000000000000e+01 5.217000000000000526e-01 5.000000000000000000e-01 5.088000000000000000e+08 5.000000000000000000e+07 8.399999999999999689e-01 3.068225684894784451e+09 3.250000000000000111e-01 3.941275254219505642e-01 4.423677572026679883e+00
7.300000000000000000e+01 1.352000000000000091e+00 1.260000000000000009e+00 5.088000000000000000e+08 1.000000000000000000e+07 1.799999999999999933e-01 3.653337658818516731e+08 5.750000000000000666e-01 1.999687615913562055e+01 1.095860986450574259e+01
7.400000000000000000e+01 1.274000000000000132e-01 1.400000000000000133e-01 5.088000000000000000e+08 1.000000000000000000e+07 9.599999999999999645e-01 5.058333007166463852e+09 0.000000000000000000e+00 2.379424963126357262e-02 1.144032393448050833e+01
7.500000000000000000e+01 8.429999999999999716e-01 9.200000000000000400e-01 5.088000000000000000e+08 5.000000000000000000e+07 3.599999999999999867e-01 6.156329197336862087e+08 1.225000000000000089e+00 3.466150804852252065e+01 1.083850206862232035e+01
7.600000000000000000e+01 1.279000000000000137e-01 1.400000000000000133e-01 8.064000000000000000e+08 1.000000000000000000e+07 9.200000000000000400e-01 3.229812790187440872e+09 2.750000000000000222e-01 1.434694333968600688e+00 2.514704906403702367e+00
7.700000000000000000e+01 1.032000000000000028e+00 9.599999999999999645e-01 5.088000000000000000e+08 5.000000000000000000e+07 4.000000000000000222e-01 8.125422610919243097e+08 4.500000000000000111e-01 2.227860108897930402e+00 4.950876413561918099e+00
7.800000000000000000e+01 1.304999999999999938e+00 1.199999999999999956e+00 5.088000000000000000e+08 1.000000000000000000e+07 2.999999999999999889e-01 6.178086580210627317e+08 4.750000000000000333e-01 4.880595178489609332e+00 1.404684700500816774e+01
7.900000000000000000e+01 2.660000000000000142e+00 2.780000000000000249e+00 5.088000000000000000e+08 5.000000000000000000e+07 2.000000000000000042e-02 2.714884414331685305e+08 4.000000000000000222e-01 6.883318415930437695e+00 2.124596130596643562e+01
8.000000000000000000e+01 1.346000000000000085e+00 1.350000000000000089e+00 1.139100030000000000e+09 5.000000000000000000e+07 8.800000000000000044e-01 5.868317838381414032e+10 8.000000000000000444e-01 1.280426210834561207e+00 7.704676260755128681e+00
8.100000000000000000e+01 1.034000000000000030e+00 9.300000000000000488e-01 5.088000000000000000e+08 1.000000000000000000e+07 4.000000000000000222e-01 4.239920258776231408e+08 1.000000000000000000e+00 2.264865971069461992e+01 1.432293865572866665e+01
8.200000000000000000e+01 5.248000000000000442e-01 5.200000000000000178e-01 5.088000000000000000e+08 5.000000000000000000e+07 8.599999999999999867e-01 3.647108493144510746e+09 0.000000000000000000e+00 1.904736147270787994e-01 9.922458266752888889e+00
8.300000000000000000e+01 9.669999999999999707e-01 8.300000000000000711e-01 5.088000000000000000e+08 5.000000000000000000e+07 7.000000000000000666e-01 2.057387708745654106e+09 2.000000000000000111e-01 5.552329964418568631e-01 9.583372862811179616e+00
8.400000000000000000e+01 6.816999999999999726e-01 1.100000000000000006e-01 1.434000000000000000e+09 1.000000000000000000e+07 8.200000000000000622e-01 1.956833641687082052e+09 5.000000000000000000e-01 1.493292985273897977e-01 1.083408638301482085e+01
8.500000000000000000e+01 3.664000000000000035e-01 3.900000000000000133e-01 5.088000000000000000e+08 5.000000000000000000e+07 7.800000000000000266e-01 1.903942530073137045e+09 2.000000000000000111e-01 2.124804351746541808e+00 6.409761944819777568e+00
8.600000000000000000e+01 3.725999999999999868e-01 4.100000000000000311e-01 5.088000000000000000e+08 5.000000000000000000e+07 8.200000000000000622e-01 2.480109466322575569e+09 1.750000000000000167e-01 1.453175390623980157e+00 8.332493469865640989e+00
8.700000000000000000e+01 1.088999999999999968e+00 9.799999999999999822e-01 8.064000000000000000e+08 5.000000000000000000e+07 5.799999999999999600e-01 3.121988703553256512e+09 5.750000000000000666e-01 1.753178149829516252e+00 1.512494635994862335e+01
8.800000000000000000e+01 2.125500000000000167e+00 2.129999999999999893e+00 5.088000000000000000e+08 1.000000000000000000e+07 4.000000000000000083e-02 2.873170047624966502e+08 2.000000000000000111e-01 2.996571698961282948e+01 2.159545999108239300e+01
8.900000000000000000e+01 9.779999999999999805e-01 8.000000000000000444e-01 8.064000000000000000e+08 5.000000000000000000e+07 5.000000000000000000e-01 1.428945679078570604e+09 1.250000000000000000e+00 4.007437794755728788e+01 1.561869322707559249e+01
9.000000000000000000e+01 2.534199999999999786e+00 2.010000000000000231e+00 5.088000000000000000e+08 2.511900000000000000e+07 2.000000000000000042e-02 1.702184866922570169e+08 9.250000000000000444e-01 1.442606618140275643e+01 2.549036920160962438e+01
9.100000000000000000e+01 1.425000000000000044e+00 1.409999999999999920e+00 5.088000000000000000e+08 1.000000000000000000e+07 1.400000000000000133e-01 3.456653387838904858e+08 4.750000000000000333e-01 8.249946580342918168e+00 2.702140655330968144e+01
9.200000000000000000e+01 1.262999999999999956e-01 1.400000000000000133e-01 5.088000000000000000e+08 1.000000000000000000e+07 9.000000000000000222e-01 1.896874877687426090e+09 1.750000000000000167e-01 1.184444539371022120e+00 5.710279646125771436e+00
9.300000000000000000e+01 1.159699999999999953e+00 1.100000000000000089e+00 5.088000000000000000e+08 2.511900000000000000e+07 2.600000000000000089e-01 5.217865410123893619e+08 6.250000000000000000e-01 1.536728898413400124e+01 5.803001358424944911e+00
9.400000000000000000e+01 5.020000000000000018e-01 3.900000000000000133e-01 5.088000000000000000e+08 2.511900000000000000e+07 8.800000000000000044e-01 2.983826402527983665e+09 1.250000000000000000e-01 8.120880562909695843e-01 2.009668742505781314e+00
9.500000000000000000e+01 3.799999999999999906e-02 5.000000000000000278e-02 8.064000000000000000e+08 2.511900000000000000e+07 8.800000000000000044e-01 3.281179890360496044e+09 9.000000000000000222e-01 5.926781553590317664e+00 3.478456213981703904e+00
9.600000000000000000e+01 5.227000000000000535e-01 4.299999999999999933e-01 8.064000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 1.000000000000000000e+00 9.250000000000000444e-01 8.469532752762835503e+09 2.307802814026780336e+00
9.700000000000000000e+01 6.215000000000000524e-01 5.600000000000000533e-01 8.064000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 1.000000000000000000e+00 8.000000000000000444e-01 2.902173273905498886e+10 3.433195004191382349e+00
9.800000000000000000e+01 2.523400000000000087e+00 2.770000000000000018e+00 5.088000000000000000e+08 1.000000000000000000e+07 4.000000000000000083e-02 3.692806681103547215e+08 5.250000000000000222e-01 1.882722765011394372e+01 1.274243741039438405e+01
9.900000000000000000e+01 9.080000000000000293e-01 7.500000000000000000e-01 5.088000000000000000e+08 1.000000000000000000e+07 7.399999999999999911e-01 1.179069068709327698e+09 3.500000000000000333e-01 8.304931381689757419e-01 1.276644646415950390e+01
1.000000000000000000e+02 2.539099999999999913e+00 2.700000000000000178e+00 5.088000000000000000e+08 5.000000000000000000e+07 2.000000000000000042e-02 2.603795996622077227e+08 5.500000000000000444e-01 2.229828078852546724e+01 1.850835643639359063e+01
1.010000000000000000e+02 1.389000000000000012e+00 1.350000000000000089e+00 5.088000000000000000e+08 1.000000000000000000e+07 2.000000000000000111e-01 4.837563096792678833e+08 3.500000000000000333e-01 9.710142130488295109e+00 2.539481174586521561e+00
1.020000000000000000e+02 1.135999999999999899e+00 1.090000000000000080e+00 5.088000000000000000e+08 5.000000000000000000e+07 3.400000000000000244e-01 9.066450464951404333e+08 6.000000000000000888e-01 3.690704757168592920e+00 1.302219600350513140e+01
1.030000000000000000e+02 9.389999999999999458e-01 1.000000000000000021e-02 4.000000000000000000e+09 1.000000000000000000e+07 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 8.332223900644910522e+06 5.934402193311753848e+01
1.040000000000000000e+02 5.312000000000000055e-01 4.700000000000000289e-01 5.088000000000000000e+08 5.000000000000000000e+07 8.000000000000000444e-01 2.284775461251614094e+09 6.000000000000000888e-01 4.305125534279750532e+00 2.476404502453564582e+00
