# D_a D_b
7.384598666618924501e-01 8.367990965745071286e-01
7.404401467030663486e-01 8.384655971889555248e-01
7.424131956493179585e-01 8.401215711675894537e-01
7.443789668542639681e-01 8.417670065750687547e-01
7.463374142957359680e-01 8.434018924442994170e-01
7.482884925793682473e-01 8.450262187737570541e-01
7.502321569420953296e-01 8.466399765246584996e-01
7.521683632555604682e-01 8.482431576179743082e-01
7.540970680294331041e-01 8.498357549312871573e-01
7.560182284146361731e-01 8.514177622954970381e-01
7.579318022064782667e-01 8.529891744913744578e-01
7.598377478476995295e-01 8.545499872459612067e-01
7.617360244314191897e-01 8.561001972288222461e-01
7.636265917039938289e-01 8.576398020481470486e-01
7.655094100677787283e-01 8.591688002467039453e-01
7.673844405837980664e-01 8.606871912976490346e-01
7.692516449743194151e-01 8.621949756001880960e-01
7.711109856253336448e-01 8.636921544750962854e-01
7.729624255889375739e-01 8.651787301600941671e-01
7.748059285856238043e-01 8.666547058050844132e-01
7.766414590064729673e-01 8.681200854672481704e-01
7.784689819152500467e-01 8.695748741060020937e-01
7.802884630504038910e-01 8.710190775778220429e-01
7.820998688269696908e-01 8.724527026309290001e-01
7.839031663383739801e-01 8.738757568998439806e-01
7.856983233581432691e-01 8.752882488998094956e-01
7.874853083415140897e-01 8.766901880210812292e-01
7.892640904269452307e-01 8.780815845230939276e-01
7.910346394375317169e-01 8.794624495284968368e-01
7.927969258823215348e-01 8.808327950170682374e-01
7.945509209575332132e-01 8.821926338195027473e-01
7.962965965476744845e-01 8.835419796110819401e-01
7.980339252265638006e-01 8.848808469052227288e-01
7.997628802582511520e-01 8.862092510469083972e-01
8.014834355978436298e-01 8.875272082060046142e-01
8.031955658922265151e-01 8.888347353704624254e-01
8.048992464806922209e-01 8.901318503394081150e-01
8.065944533954656492e-01 8.914185717161244860e-01
8.082811633621332925e-01 8.926949189009233399e-01
8.099593537999718595e-01 8.939609120839125955e-01
8.116290028221802011e-01 8.952165722376606016e-01
8.132900892360115375e-01 8.964619211097568652e-01
8.149425925428084305e-01 8.976969812152751915e-01
8.165864929379365034e-01 8.989217758291373483e-01
8.182217713106244572e-01 9.001363289783834709e-01
8.198484092437026138e-01 9.013406654343477653e-01
8.214663890132460899e-01 9.025348107047431734e-01
8.230756935881184955e-01 9.037187910256578860e-01
8.246763066294200417e-01 9.048926333534648148e-01
8.262682124898373948e-01 9.060563653566465758e-01
8.278513962128974946e-01 9.072100154075379841e-01
8.294258435321252287e-01 9.083536125739882783e-01
8.309915408701046280e-01 9.094871866109469627e-01
8.325484753374440272e-01 9.106107679519721554e-01
8.340966347316457474e-01 9.117243877006677710e-01
8.356360075358828521e-01 9.128280776220468740e-01
8.371665829176774265e-01 9.139218701338300832e-01
